City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Georgetown,GY,2019-10-22 20:27:33,6.8,-58.16,86.0,74,40,6.93
161,Sao Domingos,BR,2019-10-22 20:32:05,-13.4,-46.32,79.05,62,98,3.18
162,Sainte-Rose,CA,2019-10-22 20:32:05,45.61,-73.79,61.0,76,90,21.92
163,Tuktoyaktuk,CA,2019-10-22 20:32:05,69.44,-133.03,23.0,92,90,6.93
164,Ostrovnoy,RU,2019-10-22 20:32:05,68.05,39.51,30.96,96,100,8.25
165,Meulaboh,ID,2019-10-22 20:32:06,4.14,96.13,80.4,79,100,5.48
166,Ribeira Grande,PT,2019-10-22 20:32:06,38.52,-28.7,68.0,82,40,9.17
167,Ornskoldsvik,SE,2019-10-22 20:32:06,63.29,18.72,48.2,75,75,18.34
168,Bathsheba,BB,2019-10-22 20:32:06,13.22,-59.52,84.2,70,40,12.75
169,Vardo,US,2019-10-22 20:32:07,39.62,-77.74,60.01,100,90,3.36
170,Esil,KZ,2019-10-22 20:32:07,51.96,66.41,37.29,46,100,14.99
171,Varzea Da Palma,BR,2019-10-22 20:32:07,-17.6,-44.73,74.97,72,100,1.5
172,Novoagansk,RU,2019-10-22 20:32:08,61.94,76.66,35.74,96,100,14.52
173,Alanya,TR,2019-10-22 20:32:08,36.55,32.0,59.0,100,40,4.7
174,San Quintin,PH,2019-10-22 20:32:08,17.54,120.52,71.71,92,30,3.8
175,Lebedinyy,RU,2019-10-22 20:32:08,58.52,125.52,18.52,98,100,3.49
176,Namibe,AO,2019-10-22 20:32:09,-15.19,12.15,70.03,78,90,1.25
177,Clyde River,CA,2019-10-22 20:32:09,70.47,-68.59,35.6,69,75,13.87
178,Goure,NE,2019-10-22 20:32:09,13.98,10.27,91.99,15,53,8.99
179,North Bend,US,2019-10-22 20:32:09,43.41,-124.22,61.0,100,90,8.05
180,Bosaso,SO,2019-10-22 20:32:10,11.28,49.18,81.1,61,61,3.69
181,Stokmarknes,NO,2019-10-22 20:32:11,68.56,14.91,44.01,87,90,10.29
182,Linhares,BR,2019-10-22 20:32:11,-19.38,-40.06,75.65,90,100,7.47
183,Osmena,PH,2019-10-22 20:32:11,12.17,124.59,79.18,85,23,8.28
184,Lompoc,US,2019-10-22 20:31:38,34.64,-120.46,98.01,20,1,9.17
185,Taltal,CL,2019-10-22 20:32:12,-25.41,-70.49,57.11,74,0,3.38
186,Butaritari,KI,2019-10-22 20:32:12,3.07,172.79,83.79,74,35,14.85
187,Faanui,PF,2019-10-22 20:32:13,-16.48,-151.75,80.17,72,1,6.44
188,Isangel,VU,2019-10-22 20:32:13,-19.55,169.27,73.4,83,75,13.33
189,Te Anau,NZ,2019-10-22 20:32:13,-45.41,167.72,37.09,80,15,1.99
190,Jalu,LY,2019-10-22 20:32:13,29.03,21.55,71.4,46,0,10.33
191,Chuy,UY,2019-10-22 20:32:14,-33.69,-53.46,62.53,82,41,6.55
192,San Vicente,EC,2019-10-22 20:32:14,-0.59,-80.41,77.0,78,75,13.87
193,Mongoumba,CD,2019-10-22 20:32:14,3.64,18.59,71.78,88,0,1.12
194,Skelleftea,SE,2019-10-22 20:32:14,64.75,20.95,46.0,77,0,17.22
